Category,Model,Input,Cached Input,Output
Text tokens - Batch,gpt-5,$0.625,$0.0625,$5.00
Text tokens - Batch,gpt-5-mini,$0.125,$0.0125,$1.00
Text tokens - Batch,gpt-5-nano,$0.025,$0.0025,$0.20
Text tokens - Batch,gpt-4.1,$1.00,-,$4.00
Text tokens - Batch,gpt-4.1-mini,$0.20,-,$0.80
Text tokens - Batch,gpt-4.1-nano,$0.05,-,$0.20
Text tokens - Batch,gpt-4o,$1.25,-,$5.00
Text tokens - Batch,gpt-4o-2024-05-13,$2.50,-,$7.50
Text tokens - Batch,gpt-4o-mini,$0.075,-,$0.30
Text tokens - Batch,o1,$7.50,-,$30.00
Text tokens - Batch,o1-pro,$75.00,-,$300.00
Text tokens - Batch,o3-pro,$10.00,-,$40.00
Text tokens - Batch,o3,$1.00,-,$4.00
Text tokens - Batch,o3-deep-research,$5.00,-,$20.00
Text tokens - Batch,o4-mini,$0.55,-,$2.20
Text tokens - Batch,o4-mini-deep-research,$1.00,-,$4.00
Text tokens - Batch,o3-mini,$0.55,-,$2.20
Text tokens - Batch,o1-mini,$0.55,-,$2.20
Text tokens - Batch,computer-use-preview,$1.50,-,$6.00
Text tokens - Flex,gpt-5,$0.625,$0.0625,$5.00
Text tokens - Flex,gpt-5-mini,$0.125,$0.0125,$1.00
Text tokens - Flex,gpt-5-nano,$0.025,$0.0025,$0.20
Text tokens - Flex,o3,$1.00,$0.25,$4.00
Text tokens - Flex,o4-mini,$0.55,$0.138,$2.20
Text tokens - Standard,gpt-5,$1.25,$0.125,$10.00
Text tokens - Standard,gpt-5-mini,$0.25,$0.025,$2.00
Text tokens - Standard,gpt-5-nano,$0.05,$0.005,$0.40
Text tokens - Standard,gpt-5-chat-latest,$1.25,$0.125,$10.00
Text tokens - Standard,gpt-5-codex,$1.25,$0.125,$10.00
Text tokens - Standard,gpt-4.1,$2.00,$0.50,$8.00
Text tokens - Standard,gpt-4.1-mini,$0.40,$0.10,$1.60
Text tokens - Standard,gpt-4.1-nano,$0.10,$0.025,$0.40
Text tokens - Standard,gpt-4o,$2.50,$1.25,$10.00
Text tokens - Standard,gpt-4o-2024-05-13,$5.00,-,$15.00
Text tokens - Standard,gpt-4o-mini,$0.15,$0.075,$0.60
Text tokens - Standard,gpt-realtime,$4.00,$0.40,$16.00
Text tokens - Standard,gpt-4o-realtime-preview,$5.00,$2.50,$20.00
Text tokens - Standard,gpt-4o-mini-realtime-preview,$0.60,$0.30,$2.40
Text tokens - Standard,gpt-audio,$2.50,-,$10.00
Text tokens - Standard,gpt-4o-audio-preview,$2.50,-,$10.00
Text tokens - Standard,gpt-4o-mini-audio-preview,$0.15,-,$0.60
Text tokens - Standard,o1,$15.00,$7.50,$60.00
Text tokens - Standard,o1-pro,$150.00,-,$600.00
Text tokens - Standard,o3-pro,$20.00,-,$80.00
Text tokens - Standard,o3,$2.00,$0.50,$8.00
Text tokens - Standard,o3-deep-research,$10.00,$2.50,$40.00
Text tokens - Standard,o4-mini,$1.10,$0.275,$4.40
Text tokens - Standard,o4-mini-deep-research,$2.00,$0.50,$8.00
Text tokens - Standard,o3-mini,$1.10,$0.55,$4.40
Text tokens - Standard,o1-mini,$1.10,$0.55,$4.40
Text tokens - Standard,codex-mini-latest,$1.50,$0.375,$6.00
Text tokens - Standard,gpt-4o-mini-search-preview,$0.15,-,$0.60
Text tokens - Standard,gpt-4o-search-preview,$2.50,-,$10.00
Text tokens - Standard,computer-use-preview,$3.00,-,$12.00
Text tokens - Standard,gpt-image-1,$5.00,$1.25,-
Text tokens - Priority,gpt-5,$2.50,$0.25,$20.00
Text tokens - Priority,gpt-5-mini,$0.45,$0.045,$3.60
Text tokens - Priority,gpt-4.1,$3.50,$0.875,$14.00
Text tokens - Priority,gpt-4.1-mini,$0.70,$0.175,$2.80
Text tokens - Priority,gpt-4.1-nano,$0.20,$0.05,$0.80
Text tokens - Priority,gpt-4o,$4.25,$2.125,$17.00
Text tokens - Priority,gpt-4o-2024-05-13,$8.75,-,$26.25
Text tokens - Priority,gpt-4o-mini,$0.25,$0.125,$1.00
Text tokens - Priority,o3,$3.50,$0.875,$14.00
Text tokens - Priority,o4-mini,$2.00,$0.50,$8.00
